    1   0.000000 10.128.27.116 → 212.129.62.232 TCP 76 47942 → 443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 SACK_PERM=1 TSval=3832602374 TSecr=0 WS=128
   15   3.752422 10.128.27.116 → 128.2.42.52  TCP 76 34296 → 443 [SYN] Seq=0 Win=64320 Len=0 MSS=1340 SACK_PERM=1 TSval=2185886028 TSecr=0 WS=128
   16   3.748775    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=133, datalen=64
   17   4.000251 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x89F5A600, counter=307, datalen=64
   18   3.996781  128.2.42.52 → 10.128.27.116 TCP 76 443 → 34296 [SYN, ACK] Seq=0 Ack=1 Win=13400 Len=0 MSS=1340 WS=1 SACK_PERM=1 TSval=4248228257 TSecr=2185886028
   19   3.996781 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=1 Ack=1 Win=64384 Len=0 TSval=2185886272 TSecr=4248228257
   20   3.996781    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=134, datalen=64
   21   4.005237 10.128.27.116 → 128.2.42.52  TLSv1 585 Client Hello
   22   4.000781    10.0.2.15 → 185.195.233.76 WireGuard 652 Transport Data, receiver=0x7A5D3F48, counter=135, datalen=576
   23   4.253603 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x89F5A600, counter=308, datalen=64
   24   4.253854  128.2.42.52 → 10.128.27.116 TCP 68 443 → 34296 [ACK] Seq=1 Ack=518 Win=13917 Len=0 TSval=4248228510 TSecr=2185886281
   25   4.254471 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=309, datalen=1380
   26   4.254527 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=310, datalen=1380
   27   4.254585 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=311, datalen=1380
   28   4.254634 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=312, datalen=1380
   29   4.252787  128.2.42.52 → 10.128.27.116 TLSv1.2 1396 Server Hello
   30   4.254641 185.195.233.76 → 10.0.2.15    WireGuard 828 Transport Data, receiver=0x89F5A600, counter=313, datalen=752
   31   4.252787 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=518 Ack=1329 Win=64256 Len=0 TSval=2185886528 TSecr=4248228511
   32   4.252787  128.2.42.52 → 10.128.27.116 TLSv1.2 4738 Certificate, Server Key Exchange, Server Hello Done
   33   4.252787 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=518 Ack=5999 Win=60544 Len=0 TSval=2185886528 TSecr=4248228511
   34   4.252787    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=136, datalen=64
   35   4.252787    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=137, datalen=64
   36   4.252787 10.128.27.116 → 128.2.42.52  TLSv1.2 194 Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message
   37   4.252787    10.0.2.15 → 185.195.233.76 WireGuard 268 Transport Data, receiver=0x7A5D3F48, counter=138, datalen=192
   38   4.505812 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x89F5A600, counter=314, datalen=64
   39   4.505881 185.195.233.76 → 10.0.2.15    WireGuard 188 Transport Data, receiver=0x89F5A600, counter=315, datalen=112
   40   4.500793  128.2.42.52 → 10.128.27.116 TCP 68 443 → 34296 [ACK] Seq=5999 Ack=644 Win=14043 Len=0 TSval=4248228760 TSecr=2185886528
   41   4.500793  128.2.42.52 → 10.128.27.116 TLSv1.2 119 Change Cipher Spec, Encrypted Handshake Message
   42   4.506367 10.128.27.116 → 128.2.42.52  TLSv1.2 172 Application Data
   43   4.504793    10.0.2.15 → 185.195.233.76 WireGuard 236 Transport Data, receiver=0x7A5D3F48, counter=139, datalen=160
   44   4.754136 185.195.233.76 → 10.0.2.15    WireGuard 140 Transport Data, receiver=0x89F5A600, counter=316, datalen=64
   45   4.754234  128.2.42.52 → 10.128.27.116 TCP 68 443 → 34296 [ACK] Seq=6050 Ack=748 Win=14147 Len=0 TSval=4248229011 TSecr=2185886782
   46   4.775340 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=317, datalen=1380
   47   4.775360 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=318, datalen=1380
   48   4.775363 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=319, datalen=1380
   49   4.775411 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=320, datalen=1380
   50   4.775419 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=321, datalen=1380
   51   4.775421 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=322, datalen=1380
   52   4.775423 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=323, datalen=320
   53   4.775424 185.195.233.76 → 10.0.2.15    WireGuard 1164 Transport Data, receiver=0x89F5A600, counter=324, datalen=1088
   54   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
   55   4.775470 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=325, datalen=1380
   56   4.775476 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=326, datalen=1380
   57   4.775478 185.195.233.76 → 10.0.2.15    WireGuard 268 Transport Data, receiver=0x89F5A600, counter=327, datalen=192
   58   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=7378 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   59   4.772800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=8706 Win=64256 Len=0 TSval=2185887048 TSecr=4248229032
   60   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=8706 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   61   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=10034 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   62   4.772800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=11362 Win=64256 Len=0 TSval=2185887048 TSecr=4248229032
   63   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=11362 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   64   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=12690 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   65   4.772800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=14018 Win=64256 Len=0 TSval=2185887048 TSecr=4248229032
   66   4.772800  128.2.42.52 → 10.128.27.116 TLSv1.2 321 Application Data
   67   4.772800  128.2.42.52 → 10.128.27.116 TLSv1.2 1103 Application Data
   68   4.772800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=15306 Win=64256 Len=0 TSval=2185887048 TSecr=4248229032
   69   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
   70   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=16634 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   71   4.772800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=17962 Win=64256 Len=0 TSval=2185887048 TSecr=4248229032
   72   4.772800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=140, datalen=64
   73   4.772800  128.2.42.52 → 10.128.27.116 TLSv1.2 197 Application Data
   74   4.772800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=141, datalen=64
   75   4.772800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=142, datalen=64
   76   4.772800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=143, datalen=64
   77   4.772800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=144, datalen=64
   78   4.776480 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=328, datalen=1380
   79   4.776490 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=329, datalen=1380
   80   4.776567 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=330, datalen=1380
   81   4.776576 185.195.233.76 → 10.0.2.15    WireGuard 316 Transport Data, receiver=0x89F5A600, counter=331, datalen=240
   82   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
   83   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=19419 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   84   4.772800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=20747 Ack=748 Win=14147 Len=1328 TSval=4248229032 TSecr=2185886782 [TCP segment of a reassembled PDU]
   85   4.772800  128.2.42.52 → 10.128.27.116 TLSv1.2 247 Application Data
   86   4.772800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=22254 Win=60672 Len=0 TSval=2185887048 TSecr=4248229032
   87   4.772800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=145, datalen=64
   88   4.777665 185.195.233.76 → 10.0.2.15    WireGuard 460 Transport Data, receiver=0x89F5A600, counter=332, datalen=384
   89   4.777791  128.2.42.52 → 10.128.27.116 TLSv1.2 400 Application Data
   90   4.780278 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=333, datalen=1380
   91   4.780335 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=334, datalen=1380
   92   4.780391 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=335, datalen=1380
   93   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
   94   4.776800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=23914 Win=64256 Len=0 TSval=2185887052 TSecr=4248229034
   95   4.780447 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=336, datalen=1380
   96   4.780454 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=337, datalen=1380
   97   4.776800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=146, datalen=64
   98   4.776800  128.2.42.52 → 10.128.27.116 TCP 5380 443 → 34296 [ACK] Seq=23914 Ack=748 Win=14147 Len=5312 TSval=4248229036 TSecr=2185886782 [TCP segment of a reassembled PDU]
   99   4.780626 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=338, datalen=1380
  100   4.776800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=29226 Win=59776 Len=0 TSval=2185887052 TSecr=4248229036
  101   4.780688 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=339, datalen=320
  102   4.780695 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=340, datalen=1380
  103   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=29226 Ack=748 Win=14147 Len=1328 TSval=4248229036 TSecr=2185886782 [TCP segment of a reassembled PDU]
  104   4.776800  128.2.42.52 → 10.128.27.116 TLSv1.2 321 Application Data
  105   4.776800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=30807 Win=63488 Len=0 TSval=2185887052 TSecr=4248229036
  106   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
  107   4.780753 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=341, datalen=1380
  108   4.780761 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=342, datalen=1380
  109   4.780763 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=343, datalen=1380
  110   4.780816 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=344, datalen=1380
  111   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=32135 Ack=748 Win=14147 Len=1328 TSval=4248229036 TSecr=2185886782 [TCP segment of a reassembled PDU]
  112   4.780823 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=345, datalen=1380
  113   4.780826 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=346, datalen=320
  114   4.776800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=33463 Win=64256 Len=0 TSval=2185887052 TSecr=4248229036
  115   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=33463 Ack=748 Win=14147 Len=1328 TSval=4248229036 TSecr=2185886782 [TCP segment of a reassembled PDU]
  116   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=34791 Ack=748 Win=14147 Len=1328 TSval=4248229036 TSecr=2185886782 [TCP segment of a reassembled PDU]
  117   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=36119 Ack=748 Win=14147 Len=1328 TSval=4248229036 TSecr=2185886782 [TCP segment of a reassembled PDU]
  118   4.776800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=37447 Ack=748 Win=14147 Len=1328 TSval=4248229036 TSecr=2185886782 [TCP segment of a reassembled PDU]
  119   4.776800  128.2.42.52 → 10.128.27.116 TLSv1.2 321 Application Data
  120   4.776800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=39028 Win=64256 Len=0 TSval=2185887052 TSecr=4248229036
  121   4.776800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=147, datalen=64
  122   4.776800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=148, datalen=64
  123   4.776800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=149, datalen=64
  124   4.776800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=150, datalen=64
  125   4.785332 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=347, datalen=1380
  126   4.785385 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=348, datalen=1380
  127   4.785394 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=349, datalen=1380
  128   4.785445 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=350, datalen=1380
  129   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
  130   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=40356 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  131   4.784800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=41684 Win=64256 Len=0 TSval=2185887060 TSecr=4248229042
  132   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=41684 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  133   4.785503 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=351, datalen=1380
  134   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=43012 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  135   4.784800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=44340 Win=64256 Len=0 TSval=2185887060 TSecr=4248229042
  136   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=44340 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  137   4.785560 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=352, datalen=1380
  138   4.785567 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=353, datalen=320
  139   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=45668 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  140   4.784800  128.2.42.52 → 10.128.27.116 TLSv1.2 321 Application Data
  141   4.785619 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=354, datalen=1380
  142   4.784800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=151, datalen=64
  143   4.784800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=47249 Win=64256 Len=0 TSval=2185887060 TSecr=4248229042
  144   4.785727 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=355, datalen=1380
  145   4.784800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=152, datalen=64
  146   4.785734 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=356, datalen=1380
  147   4.785736 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=357, datalen=1380
  148   4.785737 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=358, datalen=1380
  149   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 [TCP segment of a reassembled PDU]
  150   4.785743 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=359, datalen=1380
  151   4.785744 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=360, datalen=320
  152   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=48577 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  153   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=49905 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  154   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=51233 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  155   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=52561 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  156   4.784800  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=53889 Ack=748 Win=14147 Len=1328 TSval=4248229042 TSecr=2185886782 [TCP segment of a reassembled PDU]
  157   4.784800  128.2.42.52 → 10.128.27.116 TLSv1.2 321 Application Data
  158   4.784800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=55470 Win=58496 Len=0 TSval=2185887060 TSecr=4248229042
  159   4.784800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=153, datalen=64
  160   4.784800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=154, datalen=64
  161   4.787094 185.195.233.76 → 10.0.2.15    WireGuard 156 Transport Data, receiver=0x89F5A600, counter=361, datalen=80
  162   4.787104 185.195.233.76 → 10.0.2.15    WireGuard 236 Transport Data, receiver=0x89F5A600, counter=362, datalen=160
  163   4.784800  128.2.42.52 → 10.128.27.116 TCP 81 [TCP segment of a reassembled PDU]
  164   4.784800  128.2.42.52 → 10.128.27.116 TCP 174 443 → 34296 [PSH, ACK] Seq=55483 Ack=748 Win=14147 Len=106 TSval=4248229044 TSecr=2185886782 [TCP segment of a reassembled PDU]
  165   4.784800 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=55589 Win=64256 Len=0 TSval=2185887060 TSecr=4248229044
  166   4.784800    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=155, datalen=64
  167   5.025980 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=363, datalen=1380
  168   5.026119 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=364, datalen=1380
  169   5.026138 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=365, datalen=1380
  170   5.026231 185.195.233.76 → 10.0.2.15    WireGuard 1340 Transport Data, receiver=0x89F5A600, counter=366, datalen=1264
  171   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=55589 Ack=748 Win=14147 Len=1328 TSval=4248229279 TSecr=2185887048 [TCP segment of a reassembled PDU]
  172   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=56917 Ack=748 Win=14147 Len=1328 TSval=4248229279 TSecr=2185887048 [TCP segment of a reassembled PDU]
  173   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=58245 Ack=748 Win=14147 Len=1328 TSval=4248229279 TSecr=2185887048 [TCP segment of a reassembled PDU]
  174   5.024806  128.2.42.52 → 10.128.27.116 TCP 1277 443 → 34296 [PSH, ACK] Seq=59573 Ack=748 Win=14147 Len=1209 TSval=4248229279 TSecr=2185887048 [TCP segment of a reassembled PDU]
  175   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=60782 Win=64256 Len=0 TSval=2185887300 TSecr=4248229279
  176   5.026342 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=367, datalen=1380
  177   5.026436 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=368, datalen=1380
  178   5.026449 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=369, datalen=1380
  179   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=60782 Ack=748 Win=14147 Len=1328 TSval=4248229279 TSecr=2185887048 [TCP segment of a reassembled PDU]
  180   5.026551 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=370, datalen=1380
  181   5.024806  128.2.42.52 → 10.128.27.116 TCP 1396 443 → 34296 [ACK] Seq=62110 Ack=748 Win=14147 Len=1328 TSval=4248229279 TSecr=2185887048 [TCP segment of a reassembled PDU]
  182   5.024806 10.128.27.116 → 128.2.42.52  TCP 68 34296 → 443 [ACK] Seq=748 Ack=63438 Win=69632 Len=0 TSval=2185887300 TSecr=4248229279
  183   5.024806    10.0.2.15 → 185.195.233.76 WireGuard 140 Transport Data, receiver=0x7A5D3F48, counter=156, datalen=64
  184   5.026676 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=371, datalen=1380
  185   5.026689 185.195.233.76 → 10.0.2.15    WireGuard 396 Transport Data, receiver=0x89F5A600, counter=372, datalen=320
  186   5.026692 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=373, datalen=1380
  187   5.026694 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=374, datalen=1380
  188   5.026697 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=375, datalen=1380
  189   5.026699 185.195.233.76 → 10.0.2.15    WireGuard 1456 Transport Data, receiver=0x89F5A600, counter=376, datalen=1380
